,Name of the company
0,
1,Capgemini
2,Bitwise
3,L & T InfoTech
4,Accenture
5,Atidan
6,Mastek
7,Torrent power
8,Hexaware Techn
9,Exadatum
10,HCL Systems
11,Johnson Controls
12,Honeywell
13,Siemens
14,EMCO
15,Mastek
16,Neosoft Technologies
17,Nucsoft
18,Syntel India Ltd.
19,VVF Ltd.
20,Savita Chemicals
21,Logicon
22,Amazon
23,Squad infotech
24,Polaris Software
25,Reliance Jio
26,Acty systems
27,XL dynamics
28,Metro One
29,Milesoft
30,Allerin Technologies
31,Tech Int
32,TCS
33,Swabhav Tech Labs
34,Sikraft Technologies
35,Emco
36,Persistent Technologies
37,Vector Projects
38,Acty Sysytems
39,Quinnox Technologies
40,Merce Technologies
41,Intertec Software
42,Tejas Networking
43,Emerson
44,Mphasis
45,Visa Power tech
