,name of company,number of students,sr no
0,,,
1,L&T; Infotech,30,1.
2,Atos,22,2.
3,Qspider,13,3.
4,CapGemini,12,4.
5,Zycus,8,5.
6,BNP Paribas,7,6.
7,eClinicalWorks,5,7.
8,NSE IT,4,8.
9,Endurance,4,9.
10,Hexaware,3,10.
11,Vistaar,2,11.
12,Xoriant,2,12.
13,BNED Loud cloud,2,13.
14,Hunter Lab,2,14.
15,Amazon Web Services,2,15.
16,Board Infinity,2,16.
17,Network 18,2,17.
18,Alpha Plus,2,18.
19,Thirdware,2,19.
20,Acrotrend,1,20.
21,QAD,1,21.
22,Pepperfry,1,22.
23,Syntel,1,23.
24,Capita,1,24.
25,131,,Total
