,Company Name
0,Name of Company
1,TCS
2,WIPRO
3,INFOSYS
4,IBM SOFTWARE
5,TECH MAHINDRA
6,ACCENTURE
7,TATA ELXSI
8,DELOITTE
9,SATYAM COMPUTER
10,ATOS ORIGIN
11,IFLEX SOLUTIONS
12,GEOMETRIC SOFTWARE
13,PATNI COMPUTERS
14,KRAWLER NETWORKS
15,NVIDIA
16,H.P
17,Z S ASSOCIATES
18,AMDOCS
19,CYBAGE SOFTWARE
20,INFORMATICA
21,TATA MOTORS LTD
22,NEWGEN SOFTWARE
23,JOHN DEERE
24,CUMMINS
25,INDIAN OIL
26,DAIMLER CRYSLER
27,BHARAT PETROLEUM
28,L&T LIMITED
29,EQ TECHNOLOGIES
30,FORBES MARSHALL
31,SCHNEIDER ELECTRIC
32,ESSAR STEEL
33,TATA POWER
34,ITC LTD
35,SYNTEL
36,ASHOK LEYLAND
37,SUNGUARD
38,BPCL
39,GODREJ INFOTECH
40,TCE CONSULTING
41,STERLITE
42,SIEMENS LTD
43,HONEYWELL
44,BAJAJ AUTO LTD
45,THERMAX
46,EATON
47,NATIONAL INSTRUMENTS
48,GCI SOLUTIONS LTD
49,COMMON VAULT
50,TEXAS INSTRUMENTS
51,BUKRATT COMPRESSION
52,B.E.BILLIMORIA
53,RELIANCE ENERGY
54,SOCRATES (TOSHIBA)
55,TATA RYSERSON
56,L& T (ECC  DIVISION)
57,HINDALCO
58,TATA BLUE SCOPE
59,GODREJ  & BOYCE CO.
60,D.E.SHAW & CO
61,YAHOO
62,SYMANTEC
63,BENTLEY SYSTEM
64,KIRLOSKAR GROUP
65,SCHLUMBERGER
66,ACC CEMENT
67,TAL MANUFACTURING
68,CROMPTON GREAVES
69,MICO BOSCH
70,MARVELL
71,MAHINDRA & MAHINDRA
72,TATA TECHNOLOGIES
73,ISPAT INDUSTRIES
74,VMWARE
75,NOKIA NETWORKS
76,2 COMS
77,HPCL
78,IDEA CELLULAR
79,INTEL
80,FAIRCHILD SEMICONDUCTOR
81,MICO BOSCH
82,ROCKWELL AUTOMATION
83,AFCONS
84,EMERSON EXPORTS
85,MORGAN STANLEY
86,VALEO MINDA
87,INTUIT TECHNOLOGIES
88,CHEMETEX
89,GODREJ & BOYCE
90,NEILSOFT
91,HEWITT
92,BILT
93,TWIN ENGINEERS
94,MUKUND LTD
95,UNITHERM ENGINEERS
96,GSK
97,ONGC
98,STARNET
99,BEHR GROUP
100,SHREE SATYA MINERALS
101,EATON
